likes,about_post,date,type,comments,tagged_names
1669051.0, jacquelinef143 Verified 📸 for ,MAY 9,post,8814.0,  @saajan_singh23 @bazaarindia 23w
1723489.0, jacquelinef143 Verified TheGreatRealization🖤 ,MAY 7,post,8893.0,  @bazaarindia 23w
1667113.0, jacquelinef143 Verified MyfriendJenny!❤️ 23w,MAY 7,post,4130.0, 
3677074.0, jacquelinef143 Verified Mylittlefilm!Enjoy! 23w,MAY 7,video,8814.0, 
3190743.0," jacquelinef143 Verified #Repost intotheweeklikeourApril/May2020digitalissuecoverstarJacquelineFernandez byJacquelineherself. . ShotbySaajanSingh NonitaKalra Director:YurreipemArthur artdirector:NikhilKaushik editor,digital:RavneetKaurSethi agency: #bazaarindia#mayissue#bollywood 24w",MAY 5,video,8893.0,  @bazaarindia ・・・ Cartwheeling @(jacquelinef143). . . . Styled @(saajan_singh23) . Editor: @(nonitakalra) Creative @(yurreipem) Assistant @(nickmodisto) Consulting @(ravneetkaurr) Actor's @spicesocial . . #jacquelinefernandez
1877741.0," jacquelinef143 Verified Let’sdoourbitandmakeadifferenceinthelivesofstraysbysupporting raisefundsontheirinitiative‘FeedtheStray’❤️ Todonateclickonthelinkinmybioorvisit allareinthistogether,eventheinnocentstrayssufferingfornofaultoftheirown. Foreverydonationthatyoumake,Droolswillmakeanadditionaldonationof25%anddonatethewholeamountinfoodtoanimalwelfareNGO's! 24w",MAY 3,video,4130.0,  @droolsindia @DroolsIndia We
1665862.0, jacquelinef143 Verified 💜 ,MAY 3,post,4743.0,  @bazaarindia 24w
785656.0," jacquelinef143 Verified #Repost newsofthelockdownextension,weaskedJacquelineFernandez tocreateacoverimagethatwouldcelebratejustsomeofthethingsthatarebringingusjoyrightnow—beautifulimagery,nature,andthehopeofabetterfuture.TheactorisquarantinedoutonaPanvelfarmhousewheresheis,“reconnectingwithnature”.Shesays,“Ithasbeensuchanenrichingliberatingexperienceforme,beingfullyawareofthepainandsufferingthepandemichascausedformany,I’mjustgratefulthatI’monafarm,safeandwell.DoingeverythingthatIcantohelpthoseinneedfromhereandprayingforstrengthandhealthtoeachoneinthisworldduringthesetoughtimes.” . . PhotographsbySaajanSingh NonitaKalra Director:YurreipemArthur artdirector:NikhilKaushik editor,digital:RavneetKaurSethi agency: #bazaarindia#mayissue 24w",MAY 3,post,3398.0,  @bazaarindia ・・・ Amidst @(jacquelinef143) @(saajan_singh23) . Editor: @(nonitakalra) Creative @(yurreipem) Assistant @(nickmodisto) Consulting @(ravneetkaurr) Actor's @spicesocial . . #jacquelinefernandez
1940184.0, jacquelinef143 Verified Headoverto tocheckoutmyfirstdigitalcover!!!💛💛 ,MAY 2,post,7675.0,  @bazaarindia @📸saajan_singh23 24w
1394751.0, jacquelinef143 Verified TheMaking!  MrsSerialKillernowstreamingon ,MAY 2,video,3077.0,  @netflix_in 24w
2113382.0," jacquelinef143 Verified Giftedorjustveryhardworking??Ifeelhe’sgratefulforeverydayandrespectsthepositiontheAlmightyhasgivenhim toalltheSalmanKhanfans,there’salotmoretocome,staytuned,staysafe!#lockdown#pyaarkarona 24w",MAY 1,post,9122.0,  @beingsalmankhan
1369468.0, jacquelinef143 Verified Todayistheday!‘MrsSerialKiller’inafewhours!!Onlyon ❤️❤️❤️      ,MAY 1,post,2111.0,  @netflix_in @shirishkunder @bajpayee.manoj @merainna @farahkhankunder @srishtibehlarya @shaanmu 24w
1144312.0," jacquelinef143 Verified IwillneverforgetourshootdaysfromHousefull2..Itwasanhonourtoworkwithyou,sir..Restinpeace,RishiJi🙏🏻 24w",APRIL 30,post,15100.0, 
1639639.0," jacquelinef143 Verified 😢💔Youwillbemissedandwillforeverremaininourhearts..IrrfanKhan,legend...RIP 24w",APRIL 29,post,5089.0, 
2492025.0, jacquelinef143 Verified QuarantineProductions!Comingsoon!!! 25w,APRIL 27,video,4067.0, 
1538323.0, jacquelinef143 Verified SelfieKing!Mysunrisebuddy💙 26w,APRIL 22,post,9496.0, 
1053061.0, jacquelinef143 Verified 💛 26w,APRIL 21,post,1977.0, 
529127.0," jacquelinef143 Verified OUTNOW!!!#Repost hamaraYouTubechannelshuruhogayahai,jaiyeaurmeranayagaanadekhenaurenjoykarein.#PyaarKarona (Linkin      #Lockdown#NewMusic#IndiaFightsCorona 26w",APRIL 20,post,9554.0,  @beingsalmankhan ・・・ Finally @bio)  thesajidwajid @adityadevmusic @hussain.dalal @believe_india @saajan_singh23 @abhiraj88  #StayHome
